Card ID,Name,Type,Subtype,Faction,Rarity,Resource Cost,Stats,Abilities,Flavor Text,Set/Edition,Artwork Ref,Unnamed: 12,Abilities_wrapped
001-C,EspenLock Security Drone,Character,Unit,EspenLock,Common,2 Energy,HP: 10 / ATK: 2 / DEF: 1,"[Arc Shield] Start of combat: if you have Energy, prevent the first 2 damage dealt to it.
[Power Cycle] Enter: gain 1 Energy.",‘Sparks crackle in silence.’,SRP: Bitterroot,art/espenlock_common.png,,"[Arc Shield] Start of combat: if you have Energy, prevent
the first 2 damage dealt to it. [Power Cycle] Enter: gain
1 Energy."
002-C,Lock & Sons Intern,Character,Unit,EspenLock,Common,2 Energy,HP: 10 / ATK: 2 / DEF: 1,"[Power Cycle] Enter: gain 1 Energy. Tap: Convert 1 Energy → draw, then discard.",‘Power surges guiding the lost.’,SRP: Bitterroot,art/espenlock_common.png,,"[Power Cycle] Enter: gain 1 Energy. Tap: Convert 1 Energy
→ draw, then discard."
003-C,Corporate Enforcer,Character,Unit,EspenLock,Common,1 Energy,HP: 10 / ATK: 2 / DEF: 1,"[Arc Shield] Start of combat: if you have Energy, prevent the first 2 damage dealt to it.
[Discharge] When it attacks, may pay 1 Energy to deal 1 to up to two targets.",‘Enforcement to ensure a tomorrow.’,SRP: Bitterroot,art/espenlock_common.png,,"[Arc Shield] Start of combat: if you have Energy, prevent
the first 2 damage dealt to it. [Discharge] When it
attacks, may pay 1 Energy to deal 1 to up to two targets."
004-C,Logistics Handler,Character,Unit,EspenLock,Common,1 Energy,HP: 10 / ATK: 2 / DEF: 1,"[Arc Shield] Start of combat: if you have Energy, prevent the first 2 damage dealt to it.
[Sparkjump] When you play a Tech, it gains +1/+0 and Skirmish this turn.",‘Need a light? Sign this release form.’,SRP: Bitterroot,art/espenlock_common.png,,"[Arc Shield] Start of combat: if you have Energy, prevent
the first 2 damage dealt to it. [Sparkjump] When you play
a Tech, it gains +1/+0 and Skirmish this turn."
005-C,Corporate Guard,Character,Unit,EspenLock,Common,1 Energy,HP: 10 / ATK: 2 / DEF: 1,"[Power Cycle] Enter: gain 1 Energy. Tap: Convert 1 Energy → draw, then discard.",‘Corporate defense never felt so good.’,SRP: Bitterroot,art/espenlock_common.png,,"[Power Cycle] Enter: gain 1 Energy. Tap: Convert 1 Energy
→ draw, then discard."
006-C,Data Courier,Character,Unit,EspenLock,Common,2 Energy,HP: 10 / ATK: 2 / DEF: 1,"[Sparkjump] When you play a Tech, it gains +1/+0 and Skirmish this turn.
[Discharge] When it attacks, may pay 1 Energy to deal 1 to up to two targets.",‘01110010 01100001 01101001 01101110 00100000 01101111 01110010 00100000 01110011 01101000 01101001 01101110 01100101’,SRP: Bitterroot,art/espenlock_common.png,,"[Sparkjump] When you play a Tech, it gains +1/+0 and
Skirmish this turn. [Discharge] When it attacks, may pay 1
Energy to deal 1 to up to two targets."
007-C,Supply Technician,Character,Unit,EspenLock,Common,2 Energy,HP: 10 / ATK: 2 / DEF: 1,"[Discharge] When it attacks, may pay 1 Energy to deal 1 to up to two targets.
[Arc Shield] Start of combat: if you have Energy, prevent the first 2 damage dealt to it.",‘Resupply here’,SRP: Bitterroot,art/espenlock_common.png,,"[Discharge] When it attacks, may pay 1 Energy to deal 1 to
up to two targets. [Arc Shield] Start of combat: if you
have Energy, prevent the first 2 damage dealt to it."
008-C,Prototype Drone Scout,Character,Unit,EspenLock,Common,2 Energy,HP: 10 / ATK: 2 / DEF: 1,"[Power Cycle] Enter: gain 1 Energy. Tap: Convert 1 Energy → draw, then discard.",‘The circuit hums and emits a comfortable faint glow.’,SRP: Bitterroot,art/espenlock_common.png,,"[Power Cycle] Enter: gain 1 Energy. Tap: Convert 1 Energy
→ draw, then discard."
009-C,Resource Auditor,Character,Unit,EspenLock,Common,1 Energy,HP: 10 / ATK: 2 / DEF: 1,"[Sparkjump] When you play a Tech, it gains +1/+0 and Skirmish this turn.
[Power Cycle] Enter: gain 1 Energy.",‘You cash the checks but I check the receipts.’,SRP: Bitterroot,art/espenlock_common.png,,"[Sparkjump] When you play a Tech, it gains +1/+0 and
Skirmish this turn. [Power Cycle] Enter: gain 1 Energy."
010-C,Cargo Overseer,Character,Unit,EspenLock,Common,2 Energy,HP: 10 / ATK: 2 / DEF: 1,"[Sparkjump] When you play a Tech, it gains +1/+0 and Skirmish this turn.
[Arc Shield] Start of combat: if you have Energy, prevent the first 2 damage dealt to it.",‘Ensuring the cogs are well oiled.’,SRP: Bitterroot,art/espenlock_common.png,,"[Sparkjump] When you play a Tech, it gains +1/+0 and
Skirmish this turn. [Arc Shield] Start of combat: if you
have Energy, prevent the first 2 damage dealt to it."
011-U,Prototype Operator V-12,Character,Specialist,EspenLock,Uncommon,3 Energy,HP: 14 / ATK: 3 / DEF: 2,"[Sparkjump] When you play a Tech, it gains +1/+0 and Skirmish this turn.
[Arc Shield] Start of combat: if you have Energy, prevent the first 2 damage dealt to it.",Only 3 days since the last explosion!,SRP: Bitterroot,art/espenlock_uncommon.png,,"[Sparkjump] When you play a Tech, it gains +1/+0 and
Skirmish this turn. [Arc Shield] Start of combat: if you
have Energy, prevent the first 2 damage dealt to it."
012-U,Cybernetics Tester,Character,Specialist,EspenLock,Uncommon,4 Energy,HP: 14 / ATK: 3 / DEF: 2,"[Discharge] When it attacks, may pay 1 Energy to deal 1 to up to two targets.
[Arc Shield] Start of combat: if you have Energy, prevent the first 2 damage dealt to it.",All humans can be rebuilt to be better.,SRP: Bitterroot,art/espenlock_uncommon.png,,"[Discharge] When it attacks, may pay 1 Energy to deal 1 to
up to two targets. [Arc Shield] Start of combat: if you
have Energy, prevent the first 2 damage dealt to it."
013-U,Corporate Fixer,Character,Specialist,EspenLock,Uncommon,4 Energy,HP: 14 / ATK: 3 / DEF: 2,"[Arc Shield] Start of combat: if you have Energy, prevent the first 2 damage dealt to it.
[Discharge] When it attacks, may pay 1 Energy to deal 1 to up to two targets.",No problem to large. Time to make it disappear.,SRP: Bitterroot,art/espenlock_uncommon.png,,"[Arc Shield] Start of combat: if you have Energy, prevent
the first 2 damage dealt to it. [Discharge] When it
attacks, may pay 1 Energy to deal 1 to up to two targets."
014-U,EspenLock Auditor,Character,Specialist,EspenLock,Uncommon,3 Energy,HP: 14 / ATK: 3 / DEF: 2,"[Discharge] When it attacks, may pay 1 Energy to deal 1 to up to two targets.
[Arc Shield] Start of combat: if you have Energy, prevent the first 2 damage dealt to it.",Inconsistency and disorder is the rot in any organization.,SRP: Bitterroot,art/espenlock_uncommon.png,,"[Discharge] When it attacks, may pay 1 Energy to deal 1 to
up to two targets. [Arc Shield] Start of combat: if you
have Energy, prevent the first 2 damage dealt to it."
015-U,Field Engineer Kess,Character,Specialist,EspenLock,Uncommon,3 Energy,HP: 14 / ATK: 3 / DEF: 2,"[Arc Shield] Start of combat: if you have Energy, prevent the first 2 damage dealt to it.
[Power Cycle] Enter: gain 1 Energy.",Wrench it up. Tie it down. Bring the crowbar it's time to party.,SRP: Bitterroot,art/espenlock_uncommon.png,,"[Arc Shield] Start of combat: if you have Energy, prevent
the first 2 damage dealt to it. [Power Cycle] Enter: gain
1 Energy."
016-R,Overseer Kline,Character,Elite,EspenLock,Rare,6 Energy,HP: 18 / ATK: 5 / DEF: 3,"[Power Cycle] Enter: gain 1 Energy. Tap: Convert 1 Energy → draw, then discard.
[Failsafe] If it would die, may spend 2 Energy.",It is your honor to serve me.,SRP: Bitterroot,art/espenlock_rare.png,,"[Power Cycle] Enter: gain 1 Energy. Tap: Convert 1 Energy
→ draw, then discard. [Failsafe] If it would die, may
spend 2 Energy."
017-R,Commandant Veynar,Character,Elite,EspenLock,Rare,6 Energy,HP: 18 / ATK: 5 / DEF: 3,"[Power Cycle] Enter: gain 1 Energy. Tap: Convert 1 Energy → draw, then discard.
[Sparkjump] When you play a Tech, it gains +1/+0 and Skirmish this turn.",Drop and give me 20!,SRP: Bitterroot,art/espenlock_rare.png,,"[Power Cycle] Enter: gain 1 Energy. Tap: Convert 1 Energy
→ draw, then discard. [Sparkjump] When you play a Tech, it
gains +1/+0 and Skirmish this turn."
018-R,EspenLock Blackhand,Character,Elite,EspenLock,Rare,4 Energy,HP: 18 / ATK: 5 / DEF: 3,"[Power Cycle] Enter: gain 1 Energy. Tap: Convert 1 Energy → draw, then discard.
[Overclock] On your turn, it can attack twice if you spend 1 Energy per attack.",Now you see me....,SRP: Bitterroot,art/espenlock_rare.png,,"[Power Cycle] Enter: gain 1 Energy. Tap: Convert 1 Energy
→ draw, then discard. [Overclock] On your turn, it can
attack twice if you spend 1 Energy per attack."
019-L,Director Espen V. Lockhart,Character,Legendary,EspenLock,Legendary,8 Energy,HP: 25 / ATK: 7 / DEF: 5,"[Overclock] On your turn, it can attack twice if you spend 1 Energy per attack.
[Arc Shield] Start of combat: if you have Energy, prevent the first 2 damage dealt to it.
[Power Cycle] Enter: gain 1 Energy.",The company will endure the test of time as I have ensured its success.,SRP: Bitterroot,art/espenlock_legendary.png,,"[Overclock] On your turn, it can attack twice if you spend
1 Energy per attack. [Arc Shield] Start of combat: if you
have Energy, prevent the first 2 damage dealt to it.
[Power Cycle] Enter: gain 1 Energy."
020-L,Overseer AI: Project HORIZON,Character,Legendary,EspenLock,Legendary,7 Energy,HP: 25 / ATK: 7 / DEF: 5,"[Overclock] On your turn, it can attack twice if you spend 1 Energy per attack.
[Power Cycle] Enter: gain 1 Energy. Tap: Convert 1 Energy → draw, then discard.",Initiate Extermination Protocols,SRP: Bitterroot,art/espenlock_legendary.png,,"[Overclock] On your turn, it can attack twice if you spend
1 Energy per attack. [Power Cycle] Enter: gain 1 Energy.
Tap: Convert 1 Energy → draw, then discard."
021-C,STAG Patrolman,Character,Unit,STAG,Common,1 Munitions,HP: 10 / ATK: 2 / DEF: 1,"[Bandolier] Upkeep: If you have 0 Bullets, gain 2 Bullets.
[Armor-Piercing] When it hits a Guarded unit, ignore 1 DEF.",‘Steel marches until order prevails.’,SRP: Bitterroot,art/stag_industries_common.png,,"[Bandolier] Upkeep: If you have 0 Bullets, gain 2 Bullets.
[Armor-Piercing] When it hits a Guarded unit, ignore 1
DEF."
022-C,Armored Grunt,Character,Unit,STAG,Common,2 Munitions,HP: 10 / ATK: 2 / DEF: 1,"[Bandolier] Upkeep: If you have 0 Bullets, gain 2 Bullets.
[Tactical Roll] When targeted, may spend 1 Bullet: it gains Evasion this turn.",‘The rifle waits with iron resolve.’,SRP: Bitterroot,art/stag_industries_common.png,,"[Bandolier] Upkeep: If you have 0 Bullets, gain 2 Bullets.
[Tactical Roll] When targeted, may spend 1 Bullet: it
gains Evasion this turn."
023-C,Depot Loader,Character,Unit,STAG,Common,2 Munitions,HP: 10 / ATK: 2 / DEF: 1,"[Armor-Piercing] When it hits a Guarded unit, ignore 1 DEF.
[Bandolier] Upkeep: If you have 0 Bullets, gain 2 Bullets.",‘Stack up them crates.’,SRP: Bitterroot,art/stag_industries_common.png,,"[Armor-Piercing] When it hits a Guarded unit, ignore 1
DEF. [Bandolier] Upkeep: If you have 0 Bullets, gain 2
Bullets."
024-C,Field Mechanic,Character,Unit,STAG,Common,1 Munitions,HP: 10 / ATK: 2 / DEF: 1,"[Tactical Roll] When targeted, may spend 1 Bullet: it gains Evasion this turn.
[Bandolier] Upkeep: If you have 0 Bullets, gain 2 Bullets.",‘Usin' scrap to fix junk.’,SRP: Bitterroot,art/stag_industries_common.png,,"[Tactical Roll] When targeted, may spend 1 Bullet: it
gains Evasion this turn. [Bandolier] Upkeep: If you have 0
Bullets, gain 2 Bullets."
025-C,Supply Driver,Character,Unit,STAG,Common,1 Munitions,HP: 10 / ATK: 2 / DEF: 1,"[Bandolier] Upkeep: If you have 0 Bullets, gain 2 Bullets.
[Head on a Swivel] React: If an enemy enters play, spend 1 Bullet to ping it for 1.",‘Time to roll the dice on this run.’,SRP: Bitterroot,art/stag_industries_common.png,,"[Bandolier] Upkeep: If you have 0 Bullets, gain 2 Bullets.
[Head on a Swivel] React: If an enemy enters play, spend 1
Bullet to ping it for 1."
026-C,Riot Guard,Character,Unit,STAG,Common,2 Munitions,HP: 10 / ATK: 2 / DEF: 1,"[Tactical Roll] When targeted, may spend 1 Bullet: it gains Evasion this turn.
[Armor-Piercing] When it hits a Guarded unit, ignore 1 DEF.",‘Back up! Or your face will meet my boot.’,SRP: Bitterroot,art/stag_industries_common.png,,"[Tactical Roll] When targeted, may spend 1 Bullet: it
gains Evasion this turn. [Armor-Piercing] When it hits a
Guarded unit, ignore 1 DEF."
027-C,Watchtower Scout,Character,Unit,STAG,Common,2 Munitions,HP: 10 / ATK: 2 / DEF: 1,"[Tactical Roll] When targeted, may spend 1 Bullet: it gains Evasion this turn.
[Head on a Swivel] React: If an enemy enters play, spend 1 Bullet to ping it for 1.",‘On watch for the mutant scourge.’,SRP: Bitterroot,art/stag_industries_common.png,,"[Tactical Roll] When targeted, may spend 1 Bullet: it
gains Evasion this turn. [Head on a Swivel] React: If an
enemy enters play, spend 1 Bullet to ping it for 1."
028-C,Ammo Handler,Character,Unit,STAG,Common,1 Munitions,HP: 10 / ATK: 2 / DEF: 1,"[Tactical Roll] When targeted, may spend 1 Bullet: it gains Evasion this turn.
[Bandolier] Upkeep: If you have 0 Bullets, gain 2 Bullets.",‘Load em up! Shoot em up! Repeat.’,SRP: Bitterroot,art/stag_industries_common.png,,"[Tactical Roll] When targeted, may spend 1 Bullet: it
gains Evasion this turn. [Bandolier] Upkeep: If you have 0
Bullets, gain 2 Bullets."
029-C,Fuel Convoy Escort,Character,Unit,STAG,Common,1 Munitions,HP: 10 / ATK: 2 / DEF: 1,"[Bandolier] Upkeep: If you have 0 Bullets, gain 2 Bullets.
[Tactical Roll] When targeted, may spend 1 Bullet: it gains Evasion this turn.",‘I bring the gas you bring the beans.’,SRP: Bitterroot,art/stag_industries_common.png,,"[Bandolier] Upkeep: If you have 0 Bullets, gain 2 Bullets.
[Tactical Roll] When targeted, may spend 1 Bullet: it
gains Evasion this turn."
030-C,Checkpoint Guard,Character,Unit,STAG,Common,1 Munitions,HP: 10 / ATK: 2 / DEF: 1,"[Head on a Swivel] React: If an enemy enters play, spend 1 Bullet to ping it for 1.
[Bandolier] Upkeep: If you have 0 Bullets, gain 2 Bullets.",‘Papers please.’,SRP: Bitterroot,art/stag_industries_common.png,,"[Head on a Swivel] React: If an enemy enters play, spend 1
Bullet to ping it for 1. [Bandolier] Upkeep: If you have 0
Bullets, gain 2 Bullets."
031-U,STAG Sniper Tulles,Character,Specialist,STAG,Uncommon,2 Munitions,HP: 14 / ATK: 3 / DEF: 2,"[Head on a Swivel] React: If an enemy enters play, spend 1 Bullet to ping it for 1.
[Bandolier] Upkeep: If you have 0 Bullets, gain 2 Bullets.",Good things come to those who wait.,SRP: Bitterroot,art/stag_industries_uncommon.png,,"[Head on a Swivel] React: If an enemy enters play, spend 1
Bullet to ping it for 1. [Bandolier] Upkeep: If you have 0
Bullets, gain 2 Bullets."
032-U,Demolitionist Rykov,Character,Specialist,STAG,Uncommon,3 Munitions,HP: 14 / ATK: 3 / DEF: 2,"[Bandolier] Upkeep: If you have 0 Bullets, gain 2 Bullets.
[Head on a Swivel] React: If an enemy enters play, spend 1 Bullet to ping it for 1.",No wall to thick,SRP: Bitterroot,art/stag_industries_uncommon.png,,"[Bandolier] Upkeep: If you have 0 Bullets, gain 2 Bullets.
[Head on a Swivel] React: If an enemy enters play, spend 1
Bullet to ping it for 1."
033-U,Squad Leader Marra,Character,Specialist,STAG,Uncommon,3 Munitions,HP: 14 / ATK: 3 / DEF: 2,"[Head on a Swivel] React: If an enemy enters play, spend 1 Bullet to ping it for 1.
[Tactical Roll] When targeted, may spend 1 Bullet: it gains Evasion this turn.",Fall-in maggots!!,SRP: Bitterroot,art/stag_industries_uncommon.png,,"[Head on a Swivel] React: If an enemy enters play, spend 1
Bullet to ping it for 1. [Tactical Roll] When targeted,
may spend 1 Bullet: it gains Evasion this turn."
034-U,Recon Operative Vash,Character,Specialist,STAG,Uncommon,2 Munitions,HP: 14 / ATK: 3 / DEF: 2,"[Bandolier] Upkeep: If you have 0 Bullets, gain 2 Bullets.
[Tactical Roll] When targeted, may spend 1 Bullet: it gains Evasion this turn.",It has been said that a man like no other wanders the wasteland with a bounty on his head',SRP: Bitterroot,art/stag_industries_uncommon.png,,"[Bandolier] Upkeep: If you have 0 Bullets, gain 2 Bullets.
[Tactical Roll] When targeted, may spend 1 Bullet: it
gains Evasion this turn."
035-U,Riot Suppressor Kryn,Character,Specialist,STAG,Uncommon,2 Munitions,HP: 14 / ATK: 3 / DEF: 2,"[Tactical Roll] When targeted, may spend 1 Bullet: it gains Evasion this turn.
[Head on a Swivel] React: If an enemy enters play, spend 1 Bullet to ping it for 1.","Phalanx formation. On three. One, Two, THREE!!",SRP: Bitterroot,art/stag_industries_uncommon.png,,"[Tactical Roll] When targeted, may spend 1 Bullet: it
gains Evasion this turn. [Head on a Swivel] React: If an
enemy enters play, spend 1 Bullet to ping it for 1."
036-R,Juggernaut Unit X-7,Character,Elite,STAG,Rare,4 Munitions,HP: 18 / ATK: 5 / DEF: 3,"[Head on a Swivel] React: If an enemy enters play, spend 1 Bullet to ping it for 1.
[Tactical Roll] When targeted, may spend 1 Bullet: it gains Evasion this turn.",Juggernaut Unit Online. Identifying target. Initiate engagement protocol.,SRP: Bitterroot,art/stag_industries_rare.png,,"[Head on a Swivel] React: If an enemy enters play, spend 1
Bullet to ping it for 1. [Tactical Roll] When targeted,
may spend 1 Bullet: it gains Evasion this turn."
037-R,Enforcer Lydra,Character,Elite,STAG,Rare,5 Munitions,HP: 18 / ATK: 5 / DEF: 3,"[Head on a Swivel] React: If an enemy enters play, spend 1 Bullet to ping it for 1.
[Tactical Roll] When targeted, may spend 1 Bullet: it gains Evasion this turn.",Rumor has it she kills any man that she beds.',SRP: Bitterroot,art/stag_industries_rare.png,,"[Head on a Swivel] React: If an enemy enters play, spend 1
Bullet to ping it for 1. [Tactical Roll] When targeted,
may spend 1 Bullet: it gains Evasion this turn."
038-R,Ironhand Specialist,Character,Elite,STAG,Rare,5 Munitions,HP: 18 / ATK: 5 / DEF: 3,"[Head on a Swivel] React: If an enemy enters play, spend 1 Bullet to ping it for 1.
[Tactical Roll] When targeted, may spend 1 Bullet: it gains Evasion this turn.",An iron fist keeps the reigns held tight.',SRP: Bitterroot,art/stag_industries_rare.png,,"[Head on a Swivel] React: If an enemy enters play, spend 1
Bullet to ping it for 1. [Tactical Roll] When targeted,
may spend 1 Bullet: it gains Evasion this turn."
039-L,General Stagwell,Character,Legendary,STAG,Legendary,8 Munitions,HP: 25 / ATK: 7 / DEF: 5,"[Tactical Roll] When targeted, may spend 1 Bullet: it gains Evasion this turn.
[Suppressor] While you have 2+ Bullets banked, this can’t be targeted by enemy reactions.
[Suppressive Fire] Spend 1–3 Bullets: Deal that much damage split among enemies.",No one knows where General Stagwell came from but his rise through the ranks was meteoric,SRP: Bitterroot,art/stag_industries_legendary.png,,"[Tactical Roll] When targeted, may spend 1 Bullet: it
gains Evasion this turn. [Suppressor] While you have 2+
Bullets banked, this can’t be targeted by enemy reactions.
[Suppressive Fire] Spend 1–3 Bullets: Deal that much
damage split among enemies."
040-L,Titan Mech Operator: Bastion,Character,Legendary,STAG,Legendary,7 Munitions,HP: 25 / ATK: 7 / DEF: 5,"[Tactical Roll] When targeted, may spend 1 Bullet: it gains Evasion this turn.
[Covering Fire] Allies attacking the same target get +1 ATK this turn if you spend 1 Bullet.
[Suppressive Fire] Spend 1–3 Bullets: Deal that much damage split among enemies.","An alternate pathway to cybernetics, Bastion seems to be more machine than man at this point.",SRP: Bitterroot,art/stag_industries_legendary.png,,"[Tactical Roll] When targeted, may spend 1 Bullet: it
gains Evasion this turn. [Covering Fire] Allies attacking
the same target get +1 ATK this turn if you spend 1
Bullet. [Suppressive Fire] Spend 1–3 Bullets: Deal that
much damage split among enemies."
041-C,Street Prophet Malrik,Character,Unit,COW,Common,2 Faith,HP: 10 / ATK: 2 / DEF: 1,"[Omen] Enter: Scry 2. If you spent Faith this turn, draw a card.",‘Ashes fall as prayers echo.’,SRP: Bitterroot,art/church_of_warlock_common.png,,"[Omen] Enter: Scry 2. If you spent Faith this turn, draw a
card."
042-C,Acolyte of the Seed,Character,Unit,COW,Common,2 Faith,HP: 10 / ATK: 2 / DEF: 1,"[Omen] Enter: Scry 2. If you spent Faith this turn, draw a card.","‘Faith burns, binding all who kneel.’",SRP: Bitterroot,art/church_of_warlock_common.png,,"[Omen] Enter: Scry 2. If you spent Faith this turn, draw a
card."
043-C,Ash Preacher,Character,Unit,COW,Common,2 Faith,HP: 10 / ATK: 2 / DEF: 1,"[Penance] When an ally dies, may gain 1 Faith. If you do, it gets +1/+1.",‘Pay penance for your sins.’,SRP: Bitterroot,art/church_of_warlock_common.png,,"[Penance] When an ally dies, may gain 1 Faith. If you do,
it gets +1/+1."
044-C,Faithful Beggar,Character,Unit,COW,Common,2 Faith,HP: 10 / ATK: 2 / DEF: 1,"[Omen] Enter: Scry 2. If you spent Faith this turn, draw a card.",‘The faithful are rewarded with everlasting life.’,SRP: Bitterroot,art/church_of_warlock_common.png,,"[Omen] Enter: Scry 2. If you spent Faith this turn, draw a
card."
045-C,Torchbearer Ilin,Character,Unit,COW,Common,2 Faith,HP: 10 / ATK: 2 / DEF: 1,"[Omen] Enter: Scry 2. If you spent Faith this turn, draw a card.",‘Shed light on the darkness. Burn the rest’,SRP: Bitterroot,art/church_of_warlock_common.png,,"[Omen] Enter: Scry 2. If you spent Faith this turn, draw a
card."
046-C,Sermon Whisperer,Character,Unit,COW,Common,2 Faith,HP: 10 / ATK: 2 / DEF: 1,"[Invocation] Start of turn: may spend 2 Faith to search your deck for a Ritual.
[Hex] Enter: Curse a unit (it gets -1 ATK and loses a keyword) until your next turn.",‘Listen closely and you will hear their voices.’,SRP: Bitterroot,art/church_of_warlock_common.png,,"[Invocation] Start of turn: may spend 2 Faith to search
your deck for a Ritual. [Hex] Enter: Curse a unit (it gets
-1 ATK and loses a keyword) until your next turn."
047-C,Bone Collector,Character,Unit,COW,Common,2 Faith,HP: 10 / ATK: 2 / DEF: 1,"[Hex] Enter: Curse a unit (it gets -1 ATK and loses a keyword) until your next turn.
[Penance] When an ally dies, may gain 1 Faith.","‘Grind the bones into a power, pour some water to make great flour.’",SRP: Bitterroot,art/church_of_warlock_common.png,,"[Hex] Enter: Curse a unit (it gets -1 ATK and loses a
keyword) until your next turn. [Penance] When an ally
dies, may gain 1 Faith."
048-C,Pilgrim of Ash,Character,Unit,COW,Common,2 Faith,HP: 10 / ATK: 2 / DEF: 1,"[Invocation] Start of turn: may spend 2 Faith to search your deck for a Ritual.
[Blood Tithe] When it deals combat damage, gain 1 Faith.","‘Inevitibly when the human settlements fall, a pilgramage must be made to deliver reverance for your bretherens sacrifice.’",SRP: Bitterroot,art/church_of_warlock_common.png,,"[Invocation] Start of turn: may spend 2 Faith to search
your deck for a Ritual. [Blood Tithe] When it deals combat
damage, gain 1 Faith."
049-C,Chanting Penitent,Character,Unit,COW,Common,1 Faith,HP: 10 / ATK: 2 / DEF: 1,"[Blood Tithe] When it deals combat damage, gain 1 Faith. Then may lose 1 HP to draw.",‘Yu Mo Gui Gwai Fai Di Zao.’,SRP: Bitterroot,art/church_of_warlock_common.png,,"[Blood Tithe] When it deals combat damage, gain 1 Faith.
Then may lose 1 HP to draw."
050-C,Devoted Flagellant,Character,Unit,COW,Common,1 Faith,HP: 10 / ATK: 2 / DEF: 1,"[Penance] When an ally dies, may gain 1 Faith. If you do, it gets +1/+1.",‘Pennance through action. Flesh for flesh.’,SRP: Bitterroot,art/church_of_warlock_common.png,,"[Penance] When an ally dies, may gain 1 Faith. If you do,
it gets +1/+1."
